Observer: RMA
     lat: 50:50:38.5
     lon: 4:23:34.5
    date: 2020/04/01  cutoff: 10

      |#Used/#Vis|   HDOP   VDOP   PDOP   TDOP   GDOP

00:00 |   7 /  7 |    1.4    1.9    2.3    1.4    2.8
00:20 |   7 /  7 |    1.3    1.8    2.2    1.3    2.5
00:40 |   7 /  7 |    1.2    1.7    2.0    1.2    2.4
01:00 |   6 /  6 |    1.2    2.0    2.4    1.5    2.8
01:20 |   6 /  6 |    1.3    2.1    2.4    1.5    2.9
01:40 |   6 /  6 |    1.7    2.4    2.9    1.6    3.4
02:00 |   8 /  8 |    1.1    1.7    2.0    1.0    2.2
02:20 |   8 /  8 |    1.1    1.7    2.0    1.1    2.3
02:40 |   8 /  8 |    1.0    1.5    1.7    0.9    1.9
03:00 |   9 /  9 |    0.8    1.4    1.7    0.8    1.8
03:20 |   9 /  9 |    0.8    1.4    1.7    0.8    1.9
03:40 |   7 /  7 |    1.3    2.3    2.7    1.5    3.0
04:00 |   8 /  8 |    1.0    1.8    2.0    1.1    2.3
04:20 |   9 /  9 |    0.8    1.5    1.7    0.8    1.9
04:40 |   9 /  9 |    0.8    1.5    1.7    0.8    1.9
05:00 |   9 /  9 |    0.9    1.4    1.7    0.8    1.8
05:20 |   8 /  8 |    1.0    1.7    2.0    1.1    2.3
05:40 |   8 /  8 |    1.1    1.6    2.0    1.0    2.2
06:00 |   6 /  6 |    1.7    2.4    2.9    1.6    3.3
06:20 |   7 /  7 |    1.2    1.7    2.1    1.2    2.4
06:40 |   6 /  6 |    1.3    2.1    2.5    1.6    2.9
07:00 |   6 /  6 |    1.3    2.1    2.5    1.6    2.9
07:20 |   6 /  6 |    1.5    2.0    2.5    1.6    3.0
07:40 |   6 /  6 |    1.6    2.0    2.6    1.6    3.1
08:00 |   7 /  7 |    1.2    1.5    1.9    1.0    2.2
08:20 |   7 /  7 |    1.1    1.4    1.8    1.0    2.0
08:40 |   7 /  7 |    1.1    1.6    2.0    1.1    2.3
09:00 |   7 /  7 |    1.1    1.9    2.2    1.3    2.5
09:20 |   8 /  8 |    1.1    1.7    2.0    1.1    2.3
09:40 |   8 /  8 |    1.2    1.9    2.2    1.2    2.5
10:00 |   8 /  8 |    1.4    2.2    2.6    1.4    2.9
10:20 |   9 /  9 |    1.0    1.6    1.9    1.0    2.2
10:40 |   8 /  8 |    1.0    1.6    1.9    1.0    2.1
11:00 |   8 /  8 |    0.9    1.5    1.7    0.9    1.9
11:20 |   9 /  9 |    0.8    1.4    1.7    0.8    1.8
11:40 |   8 /  8 |    1.0    1.7    2.0    1.0    2.2
12:00 |   7 /  7 |    1.3    2.4    2.7    1.5    3.1
12:20 |   7 /  7 |    1.2    2.2    2.6    1.4    2.9
12:40 |   9 /  9 |    0.8    1.5    1.7    0.8    1.9
13:00 |   8 /  8 |    1.0    1.5    1.8    0.9    2.0
13:20 |   8 /  8 |    1.0    1.4    1.7    0.8    1.9
13:40 |   8 /  8 |    1.1    1.7    2.0    1.1    2.3
14:00 |   8 /  8 |    1.0    1.5    1.8    0.9    2.0
14:20 |   8 /  8 |    1.2    1.8    2.2    1.2    2.5
14:40 |   7 /  7 |    1.2    2.1    2.4    1.5    2.8
15:00 |   7 /  7 |    1.1    2.1    2.4    1.5    2.8
15:20 |   7 /  7 |    1.2    2.0    2.3    1.5    2.8
15:40 |   7 /  7 |    1.3    2.0    2.4    1.5    2.8
16:00 |   7 /  7 |    1.5    2.0    2.5    1.6    2.9
16:20 |   7 /  7 |    1.5    1.9    2.4    1.4    2.8
16:40 |   7 /  7 |    1.4    1.8    2.3    1.5    2.8
17:00 |   7 /  7 |    1.3    1.9    2.3    1.5    2.8
17:20 |   7 /  7 |    1.2    2.0    2.3    1.5    2.8
17:40 |   8 /  8 |    1.1    1.6    1.9    1.1    2.2
18:00 |   8 /  8 |    1.1    1.8    2.1    1.2    2.4
18:20 |   8 /  8 |    1.3    2.3    2.6    1.5    3.0
18:40 |   9 /  9 |    1.0    1.7    1.9    1.0    2.2
19:00 |   9 /  9 |    0.9    1.3    1.6    0.7    1.8
19:20 |   9 /  9 |    0.8    1.4    1.7    0.8    1.8
19:40 |   9 /  9 |    0.8    1.5    1.7    0.8    1.9
20:00 |   7 /  7 |    1.2    2.3    2.6    1.4    2.9
20:20 |   7 /  7 |    1.2    2.3    2.6    1.4    3.0
20:40 |   9 /  9 |    0.8    1.4    1.7    0.8    1.8
21:00 |   9 /  9 |    0.8    1.4    1.7    0.8    1.8
21:20 |   8 /  8 |    0.9    1.5    1.7    0.9    1.9
21:40 |   8 /  8 |    1.0    1.3    1.6    0.8    1.8
22:00 |   8 /  8 |    1.1    1.6    1.9    1.0    2.2
22:20 |   6 /  6 |    1.8    2.4    2.9    1.6    3.4
22:40 |   6 /  6 |    1.4    2.0    2.4    1.4    2.8
23:00 |   7 /  7 |    1.2    1.7    2.1    1.2    2.4
23:20 |   7 /  7 |    1.1    1.8    2.1    1.2    2.4
23:40 |   7 /  7 |    1.1    1.8    2.1    1.2    2.4
