Observer: RMA
     lat: 50:50:38.5
     lon: 4:23:34.5
    date: 2020/04/01  cutoff: 10

      |#Used/#Vis|   HDOP   VDOP   PDOP   TDOP   GDOP

00:00 |  12 / 12 |    0.7    1.1    1.3    0.7    1.5
00:20 |  11 / 11 |    0.9    1.5    1.7    0.9    1.9
00:40 |  10 / 10 |    0.9    1.9    2.1    1.2    2.4
01:00 |  10 / 10 |    0.9    1.7    1.9    1.1    2.2
01:20 |  11 / 11 |    0.8    1.2    1.5    0.8    1.6
01:40 |  10 / 10 |    0.9    1.2    1.5    0.8    1.7
02:00 |  10 / 10 |    1.0    1.3    1.6    0.9    1.9
02:20 |   8 /  8 |    1.3    1.7    2.1    1.3    2.5
02:40 |   7 /  7 |    1.4    2.1    2.5    1.6    3.0
03:00 |  10 / 10 |    0.8    1.1    1.4    0.7    1.6
03:20 |   9 /  9 |    0.9    1.5    1.8    1.0    2.0
03:40 |   9 /  9 |    1.0    2.0    2.2    1.2    2.5
04:00 |   9 /  9 |    1.0    2.0    2.2    1.2    2.5
04:20 |  10 / 10 |    0.9    1.3    1.6    0.7    1.8
04:40 |   8 /  8 |    1.2    1.4    1.8    0.9    2.1
05:00 |   6 /  6 |    1.8    1.9    2.6    1.4    2.9
05:20 |   7 /  7 |    1.5    1.7    2.3    1.3    2.6
05:40 |   7 /  7 |    1.3    1.3    1.9    0.9    2.1
06:00 |   7 /  7 |    1.2    1.7    2.1    1.1    2.4
06:20 |   7 /  7 |    1.3    2.0    2.4    1.4    2.8
06:40 |   7 /  7 |    1.3    2.0    2.3    1.4    2.7
07:00 |   7 /  7 |    1.2    1.6    2.0    1.1    2.3
07:20 |   7 /  7 |    1.2    1.7    2.0    1.1    2.3
07:40 |   7 /  7 |    1.1    1.6    1.9    1.1    2.2
08:00 |   8 /  8 |    1.0    1.3    1.7    0.8    1.9
08:20 |   9 /  9 |    1.1    1.3    1.7    0.8    1.9
08:40 |   8 /  8 |    1.3    1.7    2.1    1.1    2.4
09:00 |   9 /  9 |    0.9    1.7    2.0    1.0    2.2
09:20 |   9 /  9 |    0.9    2.1    2.2    1.2    2.5
09:40 |   9 /  9 |    0.9    1.8    2.0    1.0    2.2
10:00 |  11 / 11 |    0.8    1.2    1.5    0.7    1.6
10:20 |   8 /  8 |    1.0    1.7    2.0    1.1    2.3
10:40 |   8 /  8 |    1.0    1.5    1.8    0.9    2.0
11:00 |  10 / 10 |    0.8    1.1    1.4    0.6    1.5
11:20 |   9 /  9 |    1.1    1.6    1.9    1.0    2.2
11:40 |   9 /  9 |    0.9    1.4    1.7    0.9    1.9
12:00 |   9 /  9 |    0.9    1.6    1.8    1.0    2.1
12:20 |   9 /  9 |    0.9    1.6    1.8    1.0    2.1
12:40 |   9 /  9 |    0.9    1.7    1.9    1.1    2.2
13:00 |   9 /  9 |    0.9    1.6    1.8    1.0    2.1
13:20 |   8 /  8 |    1.3    1.9    2.3    1.3    2.6
13:40 |   8 /  8 |    1.3    1.6    2.0    1.0    2.3
14:00 |   8 /  8 |    1.0    1.4    1.7    0.9    1.9
14:20 |   8 /  8 |    1.0    1.4    1.7    0.8    1.9
14:40 |   9 /  9 |    1.0    1.4    1.7    0.9    1.9
15:00 |   8 /  8 |    1.1    1.6    2.0    1.0    2.2
15:20 |   8 /  8 |    1.1    1.7    2.1    1.1    2.3
15:40 |   7 /  7 |    1.1    1.9    2.2    1.3    2.6
16:00 |   8 /  8 |    1.0    1.3    1.6    0.8    1.8
16:20 |   8 /  8 |    0.9    1.3    1.6    0.8    1.8
16:40 |   7 /  7 |    1.3    1.7    2.1    1.2    2.4
17:00 |   7 /  7 |    1.3    1.6    2.0    1.2    2.3
17:20 |   8 /  8 |    1.2    1.2    1.7    0.8    1.9
17:40 |   8 /  8 |    1.2    1.6    1.9    1.0    2.2
18:00 |   8 /  8 |    1.1    1.9    2.2    1.3    2.6
18:20 |   9 /  9 |    1.0    1.7    1.9    1.1    2.2
18:40 |   9 /  9 |    1.0    1.5    1.8    1.0    2.1
19:00 |   9 /  9 |    0.9    1.3    1.6    0.8    1.8
19:20 |   8 /  8 |    1.1    1.3    1.7    0.9    1.9
19:40 |   7 /  7 |    1.2    1.7    2.1    1.2    2.5
20:00 |   9 /  9 |    1.1    1.4    1.7    1.0    2.0
20:20 |  10 / 10 |    0.8    1.2    1.4    0.7    1.6
20:40 |   9 /  9 |    1.0    1.5    1.8    1.0    2.0
21:00 |  10 / 10 |    0.9    1.4    1.7    0.9    1.9
21:20 |  10 / 10 |    0.9    1.5    1.7    1.0    2.0
21:40 |  10 / 10 |    0.9    1.4    1.7    0.9    1.9
22:00 |   9 /  9 |    1.1    1.7    2.0    1.2    2.4
22:20 |   9 /  9 |    1.0    1.6    1.9    1.1    2.2
22:40 |  10 / 10 |    0.9    1.2    1.5    0.8    1.7
23:00 |  11 / 11 |    0.8    1.1    1.4    0.7    1.6
23:20 |  11 / 11 |    0.8    1.2    1.5    0.8    1.7
23:40 |  10 / 10 |    0.9    1.5    1.8    1.0    2.0
